DATA,ARABICA RUIM,ARABICA BOM,CONILLON
02/01/2019,"388,00","328,00","290,00"
03/01/2019,"380,00","326,00","288,00"
04/01/2019,"379,00","326,00","287,00"
07/01/2019,"377,00","325,00","287,00"
08/01/2019,"378,00","326,00","287,00"
09/01/2019,"379,00","327,00","288,00"
10/01/2019,"382,00","328,00","290,00"
11/01/2019,"386,00","332,00","292,00"
14/01/2019,"383,00","331,00","292,00"
15/01/2019,"382,00","331,00","292,00"
16/01/2019,"382,00","331,00","292,00"
17/01/2019,"381,00","332,00","292,00"
18/01/2019,"383,00","333,00","294,00"
21/01/2019,"384,00","334,00","295,00"
22/01/2019,"383,00","333,00","294,00"
23/01/2019,"384,00","334,00","292,00"
24/01/2019,"386,00","337,00","295,00"
25/01/2019,"387,00","346,00","297,00"
28/01/2019,"380,00","339,00","294,00"
29/01/2019,"381,00","339,00","294,00"
30/01/2019,"381,00","339,00","292,00"
31/01/2019,"382,00","341,00","292,00"
01/02/2019,"383,00","340,00","292,00"
04/02/2019,"386,00","343,00","295,00"
05/02/2019,"386,00","342,00","295,00"
06/02/2019,"387,00","343,00","293,00"
07/02/2019,"386,00","343,00","292,00"
08/02/2019,"389,00","345,00","296,00"
11/02/2019,"388,00","343,00","295,00"
12/02/2019,"387,00","343,00","294,00"
13/02/2019,"388,00","342,00","295,00"
14/02/2019,"387,00","342,00","294,00"
15/02/2019,"389,00","342,00","295,00"
18/02/2019,"390,00","343,00","296,00"
19/02/2019,"390,00","343,00","296,00"
20/02/2019,"392,00","342,00","296,00"
21/02/2019,"389,00","342,00","296,00"
22/02/2019,"386,00","342,00","294,00"
25/02/2019,"386,00","340,00","292,00"
26/02/2019,"379,00","337,00","293,00"
27/02/2019,"379,00","338,00","294,00"
28/02/2019,"376,00","337,00","294,00"
01/03/2019,"384,00","341,00","297,00"
07/03/2019,"386,00","340,00","297,00"
08/03/2019,"391,00","342,00","299,00"
11/03/2019,"390,00","341,00","298,00"
12/03/2019,"379,00","332,00","296,00"
13/03/2019,"379,00","337,00","296,00"
14/03/2019,"376,00","335,00","293,00"
15/03/2019,"375,00","335,00","291,00"
18/03/2019,"375,00","334,00","289,00"
19/03/2019,"374,00","332,00","289,00"
20/03/2019,"371,00","327,00","285,00"
21/03/2019,"373,00","326,00","286,00"
22/03/2019,"372,00","322,00","288,00"
25/03/2019,"376,00","321,00","291,00"
26/03/2019,"373,00","322,00","291,00"
27/03/2019,"373,00","321,00","292,00"
28/03/2019,"371,00","321,00","291,00"
29/03/2019,"371,00","321,00","291,00"
01/04/2019,"361,00","314,00","285,00"
02/04/2019,"363,00","311,00","277,00"
03/04/2019,"365,00","315,00","279,00"
04/04/2019,"366,00","316,00","279,00"
05/04/2019,"364,00","315,00","279,00"
08/04/2019,"364,00","316,00","278,00"
09/04/2019,"366,00","315,00","279,00"
10/04/2019,"363,00","312,00","277,00"
11/04/2019,"356,00","307,00","275,00"
12/04/2019,"355,00","308,00","275,00"
15/04/2019,"358,00","305,00","277,00"
16/04/2019,"355,00","301,00","275,00"
17/04/2019,"353,00","300,00","273,00"
18/04/2019,"355,00","300,00","273,00"
22/04/2019,"356,00","303,00","273,00"
23/04/2019,"355,00","301,00","271,00"
24/04/2019,"354,00","303,00","271,00"
25/04/2019,"353,00","302,00","271,00"
26/04/2019,"352,00","302,00","272,00"
30/04/2019,"348,00","299,00","272,00"
02/05/2019,"354,00","300,00","264,00"
03/05/2019,"352,00","298,00","261,00"
06/05/2019,"353,00","301,00","262,00"
07/05/2019,"348,00","298,00","257,00"
08/05/2019,"345,00","296,00","253,00"
09/05/2019,"351,00","299,00","256,00"
10/05/2019,"351,00","300,00","258,00"
13/05/2019,"353,00","299,00","260,00"
14/05/2019,"354,00","303,00","264,00"
15/05/2019,"355,00","307,00","266,00"
16/05/2019,"357,00","307,00","263,00"
17/05/2019,"357,00","303,00","261,00"
20/05/2019,"360,00","308,00","265,00"
21/05/2019,"362,00","311,00","270,00"
22/05/2019,"362,00","306,00","268,00"
23/05/2019,"365,00","309,00","272,00"
24/05/2019,"365,00","310,00","274,00"
27/05/2019,"362,00","309,00","274,00"
28/05/2019,"363,00","310,00","275,00"
29/05/2019,"369,00","313,00","280,00"
30/05/2019,"371,00","315,00","281,00"
31/05/2019,"378,00","322,00","286,00"
03/06/2019,"373,00","325,00","286,00"
04/06/2019,"376,00","336,00","289,00"
05/06/2019,"367,00","323,00","278,00"
06/06/2019,"371,00","329,00","281,00"
07/06/2019,"367,00","324,00","281,00"
10/06/2019,"369,00","323,00","280,00"
11/06/2019,"364,00","316,00","275,00"
12/06/2019,"363,00","316,00","277,00"
13/06/2019,"358,00","312,00","274,00"
14/06/2019,"355,00","309,00","272,00"
17/06/2019,"355,00","311,00","272,00"
18/06/2019,"356,00","308,00","268,00"
19/06/2019,"360,00","310,00","267,00"
21/06/2019,"367,00","314,00","271,00"
24/06/2019,"370,00","317,00","273,00"
25/06/2019,"379,00","324,00","279,00"
26/06/2019,"381,00","323,00","277,00"
27/06/2019,"377,00","322,00","275,00"
28/06/2019,"383,00","328,00","280,00"
01/07/2019,"385,00","325,00","278,00"
02/07/2019,"382,00","326,00","279,00"
03/07/2019,"386,00","331,00","282,00"
04/07/2019,"386,00","332,00","280,00"
05/07/2019,"390,00","330,00","280,00"
08/07/2019,"386,00","321,00","276,00"
09/07/2019,"389,00","323,00","276,00"
10/07/2019,"384,00","320,00","272,00"
11/07/2019,"384,00","319,00","271,00"
12/07/2019,"383,00","318,00","271,00"
15/07/2019,"388,00","321,00","272,00"
16/07/2019,"381,00","315,00","267,00"
17/07/2019,"384,00","316,00","268,00"
18/07/2019,"384,00","317,00","268,00"
19/07/2019,"382,00","316,00","267,00"
22/07/2019,"378,00","312,00","265,00"
23/07/2019,"376,00","310,00","263,00"
24/07/2019,"372,00","303,00","261,00"
25/07/2019,"372,00","301,00","261,00"
26/07/2019,"374,00","300,00","260,00"
29/07/2019,"374,00","300,00","260,00"
30/07/2019,"373,00","300,00","261,00"
31/07/2019,"371,00","300,00","260,00"
01/08/2019,"367,00","296,00","257,00"
02/08/2019,"369,00","296,00","257,00"
05/08/2019,"368,00","294,00","258,00"
06/08/2019,"373,00","294,00","261,00"
07/08/2019,"372,00","296,00","261,00"
08/08/2019,"371,00","295,00","263,00"
09/08/2019,"373,00","295,00","261,00"
12/08/2019,"367,00","292,00","259,00"
13/08/2019,"370,00","294,00","263,00"
14/08/2019,"374,00","297,00","267,00"
15/08/2019,"375,00","297,00","268,00"
16/08/2019,"372,00","296,00","267,00"
19/08/2019,"374,00","294,00","268,00"
20/08/2019,"374,00","294,00","270,00"
21/08/2019,"375,00","295,00","271,00"
22/08/2019,"375,00","296,00","272,00"
23/08/2019,"372,00","294,00","269,00"
26/08/2019,"371,00","292,00","272,00"
27/08/2019,"372,00","293,00","281,00"
28/08/2019,"373,00","295,00","280,00"
29/08/2019,"370,00","286,00","277,00"
30/08/2019,"370,00","284,00","273,00"
02/09/2019,"370,00","285,00","269,00"
03/09/2019,"369,00","283,00","268,00"
04/09/2019,"367,00","284,00","269,00"
05/09/2019,"362,00","278,00","265,00"
06/09/2019,"361,00","280,00","264,00"
09/09/2019,"362,00","282,00","266,00"
10/09/2019,"364,00","282,00","271,00"
11/09/2019,"378,00","290,00","275,00"
12/09/2019,"382,00","295,00","275,00"
13/09/2019,"385,00","297,00","278,00"
16/09/2019,"388,00","300,00","280,00"
17/09/2019,"388,00","300,00","280,00"
18/09/2019,"388,00","300,00","280,00"
19/09/2019,"388,00","300,00","280,00"
20/09/2019,"390,00","300,00","283,00"
23/09/2019,"392,00","302,00","285,00"
24/09/2019,"392,00","302,00","285,00"
25/09/2019,"394,00","304,00","287,00"
26/09/2019,"394,00","304,00","288,00"
27/09/2019,"394,00","304,00","288,00"
30/09/2019,"394,00","304,00","288,00"
01/10/2019,"395,00","305,00","290,00"
02/10/2019,"395,00","305,00","290,00"
03/10/2019,"398,00","307,00","290,00"
04/10/2019,"392,00","302,00","282,00"
07/10/2019,"393,00","300,00","278,00"
08/10/2019,"392,00","298,00","278,00"
09/10/2019,"392,00","298,00","278,00"
10/10/2019,"390,00","296,00","278,00"
11/10/2019,"390,00","296,00","278,00"
14/10/2019,"396,00","300,00","281,00"
15/10/2019,"398,00","301,00","283,00"
16/10/2019,"396,00","299,00","280,00"
17/10/2019,"395,00","298,00","280,00"
18/10/2019,"400,00","302,00","282,00"
21/10/2019,"400,00","302,00","282,00"
22/10/2019,"404,00","302,00","278,00"
23/10/2019,"402,00","300,00","275,00"
24/10/2019,"400,00","298,00","275,00"
25/10/2019,"405,00","303,00","280,00"
28/10/2019,"405,00","304,00","280,00"
29/10/2019,"400,00","300,00","280,00"
30/10/2019,"400,00","300,00","282,00"
31/10/2019,"405,00","305,00","285,00"
01/11/2019,"410,00","306,00","286,00"
04/11/2019,"410,00","306,00","285,00"
05/11/2019,"415,00","310,00","287,00"
06/11/2019,"420,00","315,00","290,00"
07/11/2019,"424,00","317,00","295,00"
08/11/2019,"430,00","320,00","297,00"
11/11/2019,"430,00","315,00","295,00"
12/11/2019,"430,00","315,00","295,00"
13/11/2019,"439,00","322,00","300,00"
14/11/2019,"440,00","322,00","305,00"
18/11/2019,"435,00","320,00","301,00"
19/11/2019,"432,00","319,00","295,00"
20/11/2019,"440,00","325,00","300,00"
